专业,课程,课程类型,任务,操作流程,技能名,技能UUID,可观察能力要求,达成结果,对应能力编号,对应能力名称,可达等级,支撑强度
旅游管理（540101）,旅游学概论,理论认知类,旅游资源可持续利用与生态保护关系辨析,,可持续旅游发展理念践行能力,0c5109b1-c99f-466c-b253-2d54d09830a0,能解释可持续发展在旅游中的含义，能提出平衡开发与保护的具体措施。,能在案例中识别不可持续的开发行为，并提出整改建议。,,,,
旅游管理（540101）,旅游学概论,理论认知类,旅游对目的地经济发展的带动与依赖机制分析,,旅游经济影响双面分析能力,b0b07b83-278e-4f84-a35d-71e13937f059,能列举旅游对经济的正面和负面影响，能解释“旅游漏损”现象。,能客观评价旅游在某地经济发展中的地位，不盲目夸大也不全盘否定。,,,,
旅游管理（540101）,旅游学概论,理论认知类,旅游对社会文化变迁的双重影响评估,,旅游社会文化影响评估能力,10cf2076-80ba-4673-ab7c-ee2481f73d3a,能解释示范效应、文化商品化，能列举旅游对社会文化的积极和消极影响。,能辩证看待文化交流中的冲突与融合，提出文化保护建议。,,,,
旅游管理（540101）,旅游学概论,理论认知类,旅游活动对生态环境的正负效应识别,,旅游环境影响识别与评价能力,f911088c-9b5b-451f-a35e-8570bbe96610,能列举旅游对水、气、声、生物的具体影响，能理解生态旅游的环保意义。,能现场识别旅游环境问题，并提出基本的环保对策。,,,,
旅游管理（540101）,旅游学概论,理论认知类,国际与国内旅游组织的职能与架构认知,,旅游组织体系认知能力,b23f5aee-5174-4070-ba8e-dd61d6f39200,能区分政府间组织与非政府组织，能说出UNWTO、PATA、CNTA等的简称及主要职能。,能准确匹配组织名称与其核心职能，了解其在行业中的作用。,,,,
旅游管理（540101）,旅游学概论,理论认知类,旅游政策制定背景与宏观调控作用分析,,旅游政策分析与解读能力,b44cd226-bfa9-4824-88de-a7f8c578d151,能列举常见的旅游政策类型（产业促进、市场监管、权益保护），能分析政策对市场的直接影响。,能解读最新旅游政策文件的核心精神，并预测其对行业的影响。,,,,
旅游管理（540101）,旅游学概论,理论认知类,旅游法律法规体系框架与规范效力理解,,旅游法律体系认知与规范应用能力,69bb3315-9171-43ce-80ce-6fcad9806d2e,能列举旅游法律体系的层级，能说明《旅游法》对旅游者、经营者、监管者的权利义务规定。,能识别旅游活动中的违法行为，并引用相关法律原则进行解释。,,,,
旅游管理（540101）,旅游学概论,理论认知类,全球旅游发展历程与阶段性演变规律梳理,,旅游历史演变脉络梳理能力,791caddd-9655-4171-a4c7-9e80066a5f95,能划分旅游发展的历史阶段，能说明各阶段的代表性事件和技术背景。,能绘制旅游发展时间轴，并标注关键里程碑。,,,,
旅游管理（540101）,旅游学概论,理论认知类,新技术背景下智慧旅游的发展形态认知,,智慧旅游技术应用场景识别能力,46b285e9-bd2a-412e-a72c-3ef281c6ebc4,能解释智慧旅游的定义，能举例说明新技术如何改变旅游体验和管理效率。,能描述一个典型的智慧旅游应用场景（如刷脸入园、智能导览）。,,,,
旅游管理（540101）,旅游学概论,理论认知类,未来旅游消费趋势与产业变革方向预测,,旅游趋势洞察与前瞻思维能力,838a877c-e5c8-4015-9dd5-ee9537209773,能列举至少三个未来旅游消费趋势，能解释“旅游+”产业融合的含义。,能撰写简短的未来旅游趋势预测报告摘要。,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社设立条件分析与申请流程办理,设立资格自查与材料准备,设立条件合规性审查,129ee075-a1d2-4112-9354-df2cda034acf,能依据法规核对注册资本、经营场所、设施设备及人员资质是否达标,确认自身满足所有法定设立条件,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社设立条件分析与申请流程办理,行政许可申请提交与审批跟进,行政审批申报操作,ee9573d8-4852-43c1-8479-ae3ace12c5bb,能正确填写申请书，上传电子版材料，并跟踪审批进度,成功受理并通过审批，领取许可证,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社设立条件分析与申请流程办理,质量保证金存入与工商登记,质保金存入与证照变更,62c5c422-77d9-4ef1-82f7-70b1539b044c,能开设质保金专用账户并存入规定金额，完成工商后续登记,拥有合法的质保金存款证明及更新后的营业执照,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社组织架构设计与岗位职责制定,业务职能分析与部门设置,组织架构规划能力,075503c9-6bf7-48bc-b21b-6c5b7df09a66,能根据业务规模和发展战略，设计合理的部门结构,产出初步的组织架构草案,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社组织架构设计与岗位职责制定,岗位分析与说明书编制,岗位职责界定与文档编写,e0b8fb31-db64-46d4-ab94-5f137b79c387,能明确各岗位的工作内容、任职资格及考核指标，并撰写成文,完成全套岗位说明书,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社分支机构管理与质量控制,分支机构设立备案与合规管理,分支机构合规设立与备案,64f87626-9ed3-46dd-8c3c-5373b3f0bd2e,能区分分社与服务网点的设立条件，并完成相应备案手续,取得分支机构营业执照及备案证明,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅行社分支机构管理与质量控制,分支机构运营监控与质量督查,分支机构质量巡查与管控,f91a92da-1cea-4e18-acc0-406aa293f3e9,能制定检查计划，实地或远程检查分支机构的合同、账目和服务记录,发现并整改运营风险点,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游市场调研与需求分析,调研方案设计与实施,调研工具应用与数据采集,b4476697-5dc8-48f0-9829-1df8a03575e9,能设计问卷、选择抽样对象，并利用网络工具和实地走访收集数据,建立原始数据库,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游市场调研与需求分析,数据分析与需求洞察,数据统计与需求提炼,721ae8ca-d9e2-4da3-9c60-0ddf9691f8a9,能运用统计软件分析数据，识别用户痛点和未被满足的需求,形成有价值的市场洞察结论,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游线路规划与行程设计,线路主题策划与资源匹配,创意策划与资源整合,45bcced6-3d87-4f52-8e0b-39696c3757c3,能结合热点和资源特色，构思独特的线路主题，并筛选匹配的旅游资源,形成线路概念方案,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游线路规划与行程设计,行程编排与合理性校验,行程逻辑编排与优化,a8ddad26-40ea-4f27-a303-bba46282ec7b,能合理安排每日游览顺序、交通时间和餐饮住宿，确保行程顺畅,生成初版行程单,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游产品成本核算与定价策略制定,直接成本精确核算,成本构成分析与计算,504e4853-510b-4ce4-93b9-dca8d65c7e90,能逐项统计交通、住宿、餐饮、门票、导游等服务成本，并分摊固定成本,得出准确的单人保本价,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游产品成本核算与定价策略制定,定价策略选择与价格体系构建,市场导向定价应用,19d516c0-d1d9-4197-b93c-4c8a072c579c,能根据竞争状况、产品稀缺性及客户敏感度，选择成本加成、竞争导向或价值定价策略,确定最终对外售价,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游产品包装与推广方案策划,产品卖点提炼与视觉包装,营销文案撰写与视觉设计,d4f2cb27-f490-4b71-9f40-2e2e9ca4c69b,能提炼核心卖点，撰写吸引人的标题和正文，并配合美工完成视觉设计,完成一套完整的宣传物料包,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游产品包装与推广方案策划,渠道投放与推广执行,全媒体营销渠道运营,65c24677-e05b-4926-bc79-2ea0d33d5e8d,能选择适合的线上（OTA、社群、抖音）和线下渠道，制定投放计划并监控效果,达成销售目标,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,供应商筛选、评估与合作谈判,供应商寻源与资质初审,供应商背景调查与资质审核,bb397612-fe55-42c4-8b35-f26639aa7f25,能通过公开渠道和行业推荐寻找供应商，并严格审核其合法经营资质,筛选出符合基本准入条件的供应商,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,供应商筛选、评估与合作谈判,实地考察与合作谈判,商务谈判与合同签订,0e6595c7-2b92-46a0-8db5-f6298ebc816f,能就价格、服务标准、结算方式、违约责任等进行谈判，并起草严谨的合同,签署生效的合作协议,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,交通、住宿及餐饮资源采购执行,资源预订与确认,日常采购订单处理,42e0b57f-a4ea-4e31-8867-6c534a3a295e,能根据接待计划，向供应商发送预订请求，并追踪确认结果,所有资源落实到位,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,景区门票与地接服务采购管理,票务预约与地接委派,专项资源调度管理,29061ea2-dc85-49ab-84c1-296d54ead03f,能协调景区预约名额，审核地接社派出的导游资质,资源调度完毕,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,采购合同管理与供应链关系维护,合同履行监控与结算,对账结算与履约评估,2dc9352d-7839-430f-ae78-fbc377169213,能定期与供应商对账，审核账单准确性，并按约定付款,完成财务结算,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,采购合同管理与供应链关系维护,供应商绩效评估与关系维护,供应商绩效考核与分级,ff5747c2-2f58-4bb1-88e9-81c0b1b76945,能根据价格、质量、配合度等维度对供应商打分，实行优胜劣汰,形成新的供应商分级名单,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,目标市场定位与营销渠道选择,市场细分与目标市场选择,STP战略应用能力,dff662e3-c042-443e-828b-8dd62b4afaae,能依据地理、人口、心理等变量细分市场，并选择最具潜力的目标市场,明确Target Audience,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,目标市场定位与营销渠道选择,营销渠道组合与评估,渠道策略制定,d44a29fe-84db-4896-931e-56a02eba74fe,能评估直销、分销、OTA等渠道的优劣，构建混合渠道体系,渠道布局方案,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,线上线下营销活动策划与实施,活动方案策划,营销创意与活动策划,c7a9de73-26db-42e4-8e46-27d423c32a92,能结合节日或热点，设计有吸引力的促销活动（如秒杀、满减、抽奖）,方案获批,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,线上线下营销活动策划与实施,活动执行与监控,活动现场管控与应急响应,0026c6c6-7214-40be-bff6-91e79d004459,能协调各方资源，监控活动进程，及时处理技术故障或客诉,活动圆满结束,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,客户咨询接待与销售技巧应用,需求探询与产品推介,顾问式销售技巧,0e60e6ae-6182-4c09-9267-639139bc45e0,能通过提问挖掘客户深层需求，并针对性推荐产品,客户意向明确,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,客户咨询接待与销售技巧应用,异议处理与促成交易,成交促成技巧,202478c8-ce08-406a-bf37-acb2fcbf0271,能化解客户对价格、安全等方面的疑虑，并使用促单技巧完成签约,交易达成,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,客户关系管理与忠诚度提升,客户档案建立与维护,客户信息管理与标签化,16b999fa-faab-43d1-a468-becbdb650810,能录入客户基本信息及消费偏好，并打上精准标签,客户画像清晰,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,客户关系管理与忠诚度提升,会员关怀与忠诚度计划,会员运营与互动,5cfd94e6-e2fc-46cc-9a2d-00d4008a61b8,能设计积分、等级制度，并定期发送关怀信息,活跃度提升,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,接待计划编制与任务下达,计划书编制,计调文书制作,3178b8c5-bbcd-473e-a414-1777967ccf23,能将销售合同转化为详细的操作指令，包含所有服务细节,计划书定稿,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,接待计划编制与任务下达,任务下达与确认,内部沟通与调度,6a707bb9-7ad7-4e19-9cb8-b732b8ded43d,能将计划书发送给导游、司机、供应商，并得到确认回复,任务分配完毕,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,出团前准备事项检查与确认,最终行前核查,行前风控检查,e79e17f8-8947-4493-bd60-78b19e66b773,能在出发前24小时再次核对所有资源状态和游客证件,确认无误,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,团队运行过程中的协调与监控,远程监控与支持,在途团队管控,b7827d35-0799-4958-a138-b4a124a32bad,能通过微信、电话与导游保持联系，监控行程进度,行程受控,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,团队结束后的结算与资料归档,报账与归档,团队决算与档案管理,19bc4547-fb70-4e97-9c91-73b54469e35c,能收集导游报账单，核算团队最终利润，并将所有资料归档,结案,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游服务质量标准制定与监测,标准体系构建,服务标准制定,1c772bea-3e1e-4029-a481-187b0a8c542b,能依据国标和行标，结合企业实际，制定各环节的服务规范,标准发布,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游服务质量标准制定与监测,质量监测与改进,质量检查与PDCA循环,aab8430f-289a-4ff1-aed7-bed7b1ea3ff0,能定期检查服务执行情况，分析问题并提出改进措施,服务质量提升,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,游客投诉受理与分析处理,投诉受理与安抚,投诉接待与情绪疏导,8b7f3aad-8331-4d1b-8e3b-6ef20932b411,能耐心倾听游客诉求，运用同理心安抚情绪，记录投诉要点,建立沟通基础,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,游客投诉受理与分析处理,调查处理与反馈,投诉解决方案制定,45487a52-b7ed-454d-aba3-8e9a9da1099b,能调查真相，依据法规和合同提出合理的赔偿或补救方案,签署和解书,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,突发事件应急预案制定与演练,预案编制,风险识别与预案编写,7684c7c6-2a02-4951-b549-c9ebc536c694,能识别常见旅游风险，制定针对性的处置流程和联络机制,预案发布,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,突发事件应急预案制定与演练,应急演练与培训,应急演练组织,143be476-0b89-4cb1-9166-3f7e008cbf79,能定期组织模拟演练，检验预案可行性,演练报告,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游安全事故处理与保险理赔协助,事故应急处置,现场急救与报告,64257d5f-5ed2-4f7f-8194-c0cff158b764,能在事故发生第一时间启动预案，组织自救互救，并向上级和有关部门报告,局势可控,,,,
旅游管理（540101）,旅行社经营与管理,岗位应用类,旅游安全事故处理与保险理赔协助,保险理赔协助,理赔材料收集与申报,1a57ffa5-0e8c-42af-b7c4-b543f951b860,能协助游客收集病历、发票、事故证明等材料，向保险公司报案,赔款到账,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,OTA平台产品上架与信息管理,产品信息梳理与素材准备,OTA产品要素提取与标准化整理,e41eb704-d9b3-49b7-bb06-edf86e2297a6,能根据原始旅游资源信息，提取并整理符合OTA平台要求的核心字段数据。,输出包含标题、卖点、价格、库存、政策等字段的标准化信息表。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,OTA平台产品上架与信息管理,后台系统配置与上架发布,OTA商家后台产品录入操作,30788239-3e39-4032-a0b0-20059c12417f,能熟练操作OTA商家后台（如携程Ebooking、美团民宿管家等），完成产品信息的系统化录入。,后台显示产品状态为“待审核”或“已上架”。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,景区票务系统配置与核销操作,票务规则与硬件联动配置,智能票务系统参数配置,40924e49-da12-4e09-9f20-34502efdbe89,能根据景区运营需求，在SaaS票务系统中配置票种、有效期、限购规则及验票权限。,新票种在测试环境中可正常生成二维码/身份证绑定信息。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,景区票务系统配置与核销操作,现场核销执行与异常处理,多介质票务核销操作,a09819b7-e03a-4241-8cc3-18d9032579dc,能熟练使用闸机、手持PDA或手机助手进行二维码、身份证、人脸等多介质的验票核销。,闸机开闸放行或手持机显示“验票成功”，系统记录核销时间。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,智慧导览系统内容维护与更新,POI数据采集与内容编辑,LBS点位信息采集与校准,fb028e85-e755-4c18-967c-e1ea3fcddf80,能使用GPS工具或地图拾取器获取准确的景点坐标，并采集配套的 multimedia 内容。,获得准确的经纬度坐标及配套的媒体素材。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,智慧导览系统内容维护与更新,CMS系统录入与前端发布,智慧导览CMS后台运维操作,f72ab350-ac2f-4785-b9eb-b7a1b0b724c2,能在内容管理系统中新增/修改POI，配置手绘地图图层关联，并发布更新。,手机端能搜索到新景点，点击图标可播放语音并显示详情。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,游客行为数据采集与清洗,多源数据抽取与整合,旅游业务数据导出与合并,1d2655d8-a33b-4bbc-8a3f-c0c95cdebb0f,能从票务系统、WiFi探针、公众号后台等导出原始数据，并使用Excel或Python进行初步合并。,生成包含所有源数据的原始合并表。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,游客行为数据采集与清洗,数据清洗与质量控制,异常值检测与缺失值处理,892839be-eb21-4985-af44-4577ea8bd7ca,能识别数据中的重复项、空值、异常极值，并进行合理的填补或删除处理。,缺失率低于阈值，无重复记录，格式统一的标准数据集。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,旅游客流监测与可视化报表制作,客流指标体系构建,旅游客流关键指标定义,9cab3a41-ed25-454c-a246-864581730f65,能根据管理需求，定义并计算瞬时客流、累计客流、平均停留时长、承载率等指标。,形成指标字典。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,旅游客流监测与可视化报表制作,可视化工具开发与部署,BI工具图表选择与看板搭建,f453b1e0-a487-4bc6-a2fe-c1a664e03503,能使用Tableau、PowerBI或ECharts等工具，选择合适的图表类型展示客流数据，并布局看板。,可交互的数字化大屏或网页报表。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,基于数据的旅游营销效果评估,营销数据追踪与归因,营销渠道数据埋点与追踪,ea17189e-c7a0-46f9-8595-04e2984b9ac7,能配置UTM参数或使用专属二维码，追踪不同营销渠道（抖音、小红书、OTA）的流量与转化。,各渠道独立的访问量（UV）、点击量（PV）及转化数据。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,基于数据的旅游营销效果评估,效果分析与ROI计算,营销ROI与转化漏斗分析,2027ceb9-d5b3-490b-b7ac-275801258525,能计算各渠道ROI，绘制转化漏斗，识别流失环节，并提出优化建议。,营销复盘报告。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,短视频旅游内容策划与制作,短视频创意策划与脚本撰写,旅游短视频脚本创作,e319a982-987c-44a8-9fd0-9fee8326f272,能根据景点特色，构思爆款选题，撰写包含景别、运镜、台词的分镜头脚本。,可执行的分镜头脚本。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,短视频旅游内容策划与制作,素材拍摄与后期剪辑,移动端/相机拍摄与剪辑软件操作,b54486c8-00ff-4aa9-8a53-fea34045da27,能使用稳定器、手机或相机拍摄高质量素材，并使用剪映/PR进行剪辑、调色、加字幕。,成品视频文件（MP4格式，1080P）。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,直播带货流程设计与现场执行,直播选品与脚本策划,直播货盘组合与话术设计,7c98816e-7332-4fe7-a29c-a892d22c2bf6,能设计引流款、利润款、形象款的组合策略，并编写对应的产品介绍与促单话术。,直播排品表与详细脚本。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,直播带货流程设计与现场执行,直播现场执行与控场,直播推流与现场互动控场,07bccb57-ca97-4897-aac9-90c666c3ffb5,能操作 OBS/手机推流，监控直播画面，实时回复弹幕，引导点赞关注与下单。,顺利完成直播场次，各项指标达标。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,私域流量社群运营与客户维系,社群架构搭建与引流,私域社群冷启动与规范化建设,d7647437-24c9-4c5c-a9da-8a40bced0da7,能设计社群价值主张，制定群规，设置欢迎语，并通过裂变工具或包裹卡引流用户入群。,社群建立，首批用户入驻，秩序井然。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,私域流量社群运营与客户维系,社群内容运营与转化,社群SOP执行与活动策划,6f835d69-7a68-4cb9-97cc-6715f446f963,能执行每日固定的内容推送SOP，策划签到、打卡、秒杀等活跃活动，引导转化。,用户活跃度高，产生正向GMV。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,自助服务终端设备调试与故障排除,硬件组装与系统环境部署,自助终端硬件连接与驱动配置,c96bdbcf-4987-4c6d-bb83-9556cea0981e,能正确连接打印机、读卡器、触摸屏等外设，安装Windows/Linux系统及专用驱动程序。,设备开机进入桌面，所有外设识别正常。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,自助服务终端设备调试与故障排除,常见故障诊断与维修,自助终端软硬件故障排查,e4c2725d-f2bf-4abd-b0e3-acfc0a6ff53f,能根据报错代码或现象，使用替换法、最小系统法诊断卡纸、黑屏、网络中断等故障。,故障消除，设备重新上线。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,VR/AR沉浸式体验项目部署与指导,VR/AR环境搭建与内容调试,VR/AR一体机内容部署与校准,9ad95db4-db65-4fbd-96fc-09377c75ffd2,能安装VR应用，设置电子围栏（Guardian System），校准手柄，调整IPD（瞳距）。,设备处于待客状态，体验内容加载成功。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,VR/AR沉浸式体验项目部署与指导,游客引导与安全监护,VR体验前宣教与过程监护,1e050c81-4c97-477d-b9e0-18622e506c80,能向游客讲解注意事项，协助佩戴设备，并在体验过程中实时监控游客状态。,游客满意离开，设备完好。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,智能安防与监控系统基础操作,监控平台基本操作与巡检,视频管理平台（VMS）客户端操作,0f76285a-08cd-421a-a590-a1bc3f838cc3,能登录监控中心，添加/删除摄像头，进行多画面分割预览，控制PTZ云台。,能独立调取任意点位实时画面。,,,,
旅游管理（540101）,智慧旅游技术应用,实操技能类,智能安防与监控系统基础操作,录像检索与证据导出,历史录像查询与备份导出,8a98ba3a-1376-4a9f-b37d-60fda2a3c091,能按时间、事件类型检索录像，截取关键片段，导出为MP4/AVI格式。,获得有效的视频证据文件。,,,,
导游（540102）,全国导游基础知识,理论认知类,中国历史发展脉络与朝代更替规律认知,,中国历史朝代顺序记忆与定位,4d0eb093-dab7-4e00-9098-132d47bc1554,能按时间顺序背诵并默写中国主要朝代名称及大致起止年份,能准确列出夏商周至清的主要朝代顺序，无遗漏或颠倒,,,,
导游（540102）,全国导游基础知识,理论认知类,中国历史发展脉络与朝代更替规律认知,,帝王纪年与年号识别,e749b02c-e73a-477d-8db9-4fcaf7bc1025,能解释干支纪年法原理，并能识别常见帝王年号对应的历史时期,能换算简单的干支年份，并能指出“康熙”、“乾隆”、“贞观”等年号所属朝代及皇帝,,,,
导游（540102）,全国导游基础知识,理论认知类,中国古代哲学思想与宗教文化体系认知,,儒家与道家思想核心辨析,74cad699-f0fc-458c-a039-cb0e7e448067,能比较儒家与道家思想的核心主张及其在社会生活中的体现,能准确概括“仁礼”与“道法自然”的区别，并举例说明其在建筑、文学中的体现,,,,
导游（540102）,全国导游基础知识,理论认知类,中国古代哲学思想与宗教文化体系认知,,四大宗教基本教义识别,491e32e3-f9f7-454e-8363-65cb3d647129,能简述佛教、道教、伊斯兰教、基督教的基本教义及在中国的传播特点,能区分四教的创始人、经典、标志性符号及主要节日,,,,
导游（540102）,全国导游基础知识,理论认知类,中国传统文学艺术与科举制度演变认知,,古代文学体裁与代表作关联,4d1b092d-9347-406d-8f0d-9a275dc44e14,能将唐诗、宋词、元曲、明清小说的代表作家与作品正确对应,能准确说出李白、杜甫、苏轼、曹雪芹等人的代表作及文学地位,,,,
导游（540102）,全国导游基础知识,理论认知类,中国传统文学艺术与科举制度演变认知,,科举制度层级与影响认知,8b46b2ba-2bb3-4abd-858a-c4d757b0fe6d,能解释科举考试四级制度（院试、乡试、会试、殿试）及对应功名,能清晰说明秀才、举人、进士、状元的获取途径及社会地位差异,,,,
导游（540102）,全国导游基础知识,理论认知类,中国自然地理格局与气候特征认知,,中国地势阶梯与地形区识别,11bda07f-765c-4048-a568-8b92cf030e70,能在中国地图上标识三级阶梯界线及主要地形区,能准确说出第一、二、三级阶梯的平均海拔及包含的主要高原、盆地、平原,,,,
